agency,description,name,price
Azarchitecture/Jarson & Jarson,"Tempe,  AZ 85281",221 E 14th Street,"$2,490,000"
Realty One Group,"Tempe,  AZ 85284",2181 E La Vieve Lane,"$1,850,000"
Realty Executives,"Tempe,  AZ 85281",1224 S Maple Avenue #ABC,"$1,369,000"
Prestige Realty,"Tempe,  AZ 85282",3924 S Kyrene Road,"$989,000"
Exp Realty,"Tempe,  AZ 85282",2617 S Forest Avenue,"$875,000"
"Balboa Realty, Llc","Tempe,  AZ 85283",1324 E Bayview Drive,"$839,400"
Sterling Fine Properties,"Tempe,  AZ 85283",1506 E Northshore Drive,"$829,980"
My Home Group Real Estate,"Tempe,  AZ 85283",1337 E Northshore Drive,"$829,900"
"Real Broker Az, Llc","Tempe,  AZ 85282",2140 E Golf Avenue,"$799,000"
Rei Marketing,"Tempe,  AZ 85281",539 W 6th Street,"$784,000"
West Usa Realty,"Tempe,  AZ 85281",405 W 7th Street,"$775,000"
Your Home Sold Guaranteed Realty,"Tempe,  AZ 85283",1920 E Stephens Drive,"$775,000"
Berkshire Hathaway Homeservices Arizona Properties,"Goodyear,  AZ 85338",16827 W Lower Buckeye Road,"$1,300,000"
Tri Pointe Homes Arizona Realty,"Goodyear,  AZ 85395",18102 W Highland Avenue,"$1,235,120"
Berkshire Hathaway Homeservices Arizona Properties,"Goodyear,  AZ 85395",16633 W Windsor Avenue,"$1,200,000"
Realty One Group,"Goodyear,  AZ 85395",3183 N 159th Avenue,"$1,199,000"
Pebblecreek Properties Limited,"Goodyear,  AZ 85395",3223 N 167th Drive,"$1,154,744"
Trelora Realty,"Goodyear,  AZ 85395",16808 W Fairmount Avenue,"$1,050,000"
Pebblecreek Properties Limited,"Goodyear,  AZ 85395",16779 W Fairmount Avenue,"$1,030,791"
Pebblecreek Properties Limited,"Goodyear,  AZ 85395",16678 W Catalina Drive,"$1,020,920"
Realty One Group,"Goodyear,  AZ 85395",2597 N 164th Drive,"$991,400"
Berkshire Hathaway Homeservices Arizona Properties,"Goodyear,  AZ 85395",4428 N 185th Avenue,"$990,000"
The Offer Company,"Goodyear,  AZ 85395",18372 W Monterosa Street,"$970,000"
Pebblecreek Properties Limited,"Goodyear,  AZ 85395",16800 W Fairmount Avenue,"$961,429"
The Maricopa Real Estate Co,"Maricopa,  AZ 85139",20727 N La Entrada Road,"$999,999"
Homesmart Premier,"Maricopa,  AZ 85138",22103 N Cline Court,"$749,000"
The Maricopa Real Estate Co,"Maricopa,  AZ 85139",44534 W Sedona Trail,"$640,000"
Homesmart Success,"Maricopa,  AZ 85138",40693 W Bravo Drive,"$630,000"
Prestige Realty,"Maricopa,  AZ 85138",42762 W Bravo Drive,"$628,000"
Hague Partners,"Maricopa,  AZ 85138",40503 W Little Drive,"$625,000"
West Usa Realty,"Maricopa,  AZ 85139",10502 N Candido Road,"$625,000"
Richmond American Homes,"Maricopa,  AZ 85138",40931 W Desert Fairways Drive,"$611,995"
Richmond American Homes,"Maricopa,  AZ 85138",22335 N Daniel Drive,"$601,995"
The Maricopa Real Estate Co,"Maricopa,  AZ 85139",52570 W Cardinal Road,"$600,000"
"Opendoor Brokerage, Llc","Maricopa,  AZ 85138",42788 W Bravo Drive,"$600,000"
Rhouse Realty,"Maricopa,  AZ 85138",41823 W Sussex Drive,"$599,900"
